user_id,num_topics,tweets_per_day,delta_following_changes,delta_followers_changes,delta_bio_changes,activity_level,kmeans_cluster,pca1,pca2
@NFJShane,5,9.0,-2,3,0,high,1,-0.012464833316068588,0.30700463675748874
@HolthausBob,5,1.798165137614679,0,20,0,medium,1,-0.15275362599166356,-0.1063597891678312
@finvibe,5,2.571428571428572,0,26,0,medium,1,-0.11958413955886667,-0.07162780179138553
@MattWalshBlog,5,1.4444444444444444,0,0,0,medium,1,-0.206106987802363,-0.10187935680890313
@JobCoinSOL,5,1.7894736842105263,0,0,0,medium,1,-0.19723053370285393,-0.08322183299899842
@watcher_iam,5,1.2857142857142858,63,3,0,medium,1,0.02876435981413634,-0.23550058794042725
@watermelonjudy,5,1.25,0,0,0,medium,1,-0.21110939625674738,-0.11239397827804433
@jbendery,5,8.0,0,0,0,high,1,-0.03745435991169041,0.2526135955792863
@xriskology,5,10.0,0,0,0,high,1,0.01399898419054869,0.3607639878333102
@KnotSimple,5,5.133333333333334,30,74,0,high,1,0.16316019666946044,-0.047606934306270395
@JeffSnider_EDU,5,2.333333333333333,0,0,0,medium,1,-0.18323883486803455,-0.05381251580711475
@reallive3tv,5,1.3833333333333333,2,33,0,medium,1,-0.12728607788943483,-0.1479941039682905
@Clocks_Runnin,5,1.4193548387096775,0,0,0,medium,1,-0.20675245986099328,-0.10323608215976009
@HMCHospitalJobs,5,10.0,0,0,0,high,1,0.01399898419054869,0.3607639878333102
@PHJobsUK,5,3.4857142857142858,-9,4,0,medium,1,-0.17792938270932446,0.021137788339013502
@GrowwTogether_,5,7.214285714285714,-1,22,0,high,1,-0.012677108215580806,0.18608571708338806
@rblais489338,5,1.6071428571428572,49,11,0,medium,1,0.0031089804697757998,-0.20056319320067945
@NiveshValue,5,2.207547169811321,0,32,0,medium,1,-0.11566960538183113,-0.0983871444156977
@1stIndiaNewsRaj,5,13.6875,-1,452,0,high,0,1.1053032219356178,0.028555162505305036
@AtlusAvalon,5,18.0,0,0,0,high,3,0.2198123605995051,0.7933655568494057
@qubevents,5,2.7096774193548385,0,5,0,medium,1,-0.16249342760362742,-0.039363622598333564
@Dalegusmc1981,4,17.666666666666668,0,0,0,high,1,0.08598120892227425,0.6053936814036367
@DagoFXtrader,4,1.293103448275862,0,0,0,medium,1,-0.33525608230553955,-0.28000996092887503
@adamfare1996,4,1.75,0,0,0,medium,1,-0.32350165455804525,-0.2553031902846368
@intelFromBrian,4,1.4,0,0,0,medium,1,-0.33250598977593715,-0.274229508929091
@indialensnews,4,4.5625,78,198,0,medium,1,0.47459284560221304,-0.48735984258042897
@CaNdy_FI0ss,4,1.4,2,88,0,medium,1,-0.13041630411428481,-0.381961518364406
@impishchimp,4,1.2,0,12,0,medium,1,-0.31109934086227253,-0.299209317084268
@financialit_net,4,2.477272727272727,-1,12,0,medium,1,-0.2819269349311229,-0.22821202520749487
@CreativeSoIndia,4,3.375,0,0,0,medium,1,-0.281695812474976,-0.16743099657824245
@sav_says_,4,2.0,0,0,0,medium,1,-0.31706998654526536,-0.24178439125288384
@cspan,4,1.25,0,0,0,medium,1,-0.3363649905836051,-0.28234078834814275
@AmPolGossip,4,20.0,0,-2,0,high,1,0.14158477982090503,0.7339299338549602
@dreamsofskies,4,6.0,0,0,0,high,1,-0.2141632983407872,-0.025483606744836067
@CoinXndr,4,5.0,0,0,0,medium,1,-0.23988997039190674,-0.07955880287184801
@designdelight25,4,4.0625,0,0,0,medium,1,-0.2640087254398313,-0.13025429924092172
@bookitsport,4,16.36842105263158,85,4,0,high,1,0.37487583555112053,0.36654512100594705
@CryptoStasolla,4,1.3877551020408163,-15,15,0,medium,1,-0.35494459074369566,-0.2636698357227514
@ODDSETAZ01,4,1.1643835616438356,377,24,18,medium,7,0.4689707285531163,-0.44276630765373526
@NormOrnstein,4,1.1111111111111112,0,0,0,medium,1,-0.3399381394795939,-0.2898512322546722
@NikolaSignals,4,3.259259259259259,18,26,0,medium,1,-0.16076786777497964,-0.2390933680675693
@NiallHarbison,4,1.1666666666666667,0,0,0,medium,1,-0.3385088799211984,-0.28684705469206045
@Newsquawk,4,1.7,0,0,0,medium,1,-0.3247879881606013,-0.2580069500909874
@MrSpiritsRaven,4,1.7777777777777777,-51,-6,1,medium,1,-0.5594502166890423,-0.11505397340495098
@NewsUkraineRBC,4,34.75,0,12,0,high,3,0.5520305064527884,1.5150135129769824
@GhostEVplays,4,15.1,18,494,0,high,1,1.17938233573604,-0.15122897848412467
@PiQSuite,4,1.75,0,0,0,medium,1,-0.32350165455804525,-0.2553031902846368
@Painfulmessagee,4,2.2,0,0,0,medium,1,-0.31192465213504145,-0.23096935202748145
@PacoPicks,4,8.23076923076923,0,0,0,high,1,-0.156773029919059,0.09514567692311361
@786Peace786,4,3.333333333333333,91,12,0,medium,1,0.07935315471449386,-0.3593440950853292
@KisanofIndia,4,1.8333333333333333,-1,55,0,medium,1,-0.20334874562919794,-0.31379026289370265
@KTLA,4,2.0,0,0,0,medium,1,-0.31706998654526536,-0.24178439125288384
@JustinWolfers,4,2.6666666666666665,0,0,0,medium,1,-0.29991887184451904,-0.2057342605015426
@JerryTommy34417,4,1.0714285714285714,112,67,0,medium,1,0.22029744643652682,-0.5870777877789105
@zflixfootball,4,3.533333333333333,0,6,0,medium,1,-0.2643464310716045,-0.1659514749896862
@MaryAReed,4,2.0,23,22,0,medium,1,-0.18357722565706655,-0.3121090630525966
@Mansaf000,4,4.95,147,84,0,medium,1,0.4867604638282908,-0.4649081855337304
@TrueGritNewsMan,4,7.434782608695652,5,1,0,high,1,-0.15660059820905906,0.04127955360010728
@Randy_Macron,4,1.353448275862069,-2,2,0,medium,1,-0.33665342144873633,-0.2752505600798952
@Tammy_Richard,4,10.2,-2,12,0,high,1,-0.08693443368866646,0.19132448534247354
@EWMInteractive,4,1.5352112676056338,0,0,0,medium,1,-0.32902745383663085,-0.26691793311473444
@WealthBranch,4,5.560975609756097,1,50,0,high,1,-0.11113710035826445,-0.11017232593436176
@Doc_JJK,4,5.571428571428571,0,0,0,high,1,-0.22518901493412416,-0.04865869079926977
